id,section_name,deficiency_category,inspected_item_name,risk_percentage,cost_in_usd,is_delete,created_at,updated_at
24,IV. Plumbing Systems,Immediate Maintenance,Plumbing Fixtures Damaged,31.41,462.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
25,IV. Plumbing Systems,Immediate Maintenance,Water Meter/Shutoff Covered by Soil or Water,30.98,290.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
26,I. Structural Systems,Immediate Maintenance,Ceiling Minor Damage,29.91,806.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
27,I. Structural Systems,Immediate Maintenance,Damaged Fencing,28.61,711.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
28,"III. Heating, Ventilation and Air Conditioning Systems",Immediate Maintenance,Water/Debris in HVAC Pan,27.78,151.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
29,I. Structural Systems,Immediate Maintenance,Cabinets Damaged,27.59,357.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
30,I. Structural Systems,Immediate Maintenance,Windows Difficult To Open/Close,20.28,518.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
31,I. Structural Systems,Maintenance,Damaged/Missing Parging,27.25,658.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
32,I. Structural Systems,Maintenance,Unlevel Flooring,27.11,831.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
33,I. Structural Systems,High Cost/Hidden Defects,Wavy Exterior Wallboard,25.75,2303.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
34,I. Structural Systems,Maintenance,Damaged/Out of Square Cabinet Doors,25.61,186.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
35,I. Structural Systems,Maintenance,Out of Square Bi-Fold Doors,25.36,577.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
36,V. Appliances,Maintenance,Improper Dishwasher Installation,25.36,331.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
37,I. Structural Systems,High Cost/Hidden Defects,Wavy Interior Wallboard,25.27,2303.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
38,I. Structural Systems,Maintenance,Damaged Roof Coverings,25.12,840.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
39,I. Structural Systems,Maintenance,Sagging Roof Decking,23.09,690.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
40,I. Structural Systems,Maintenance,Improper Door Installation,21.93,561.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
41,I. Structural Systems,Maintenance,Damaged Sidewalk/Driveway Joints,21.78,220.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
42,II. Electrical Systems,Maintenance,Missing/Damaged GFCI Receptacles,21.49,702.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
43,I. Structural Systems,Maintenance,Damaged/Missing Window Screens,21.39,908.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
44,II. Electrical Systems,Maintenance,Damaged/Missing Receptacle Covers,20.38,641.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
45,II. Electrical Systems,Maintenance,Wobbly/Damaged Fixture Fan,20.23,268.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
46,IV. Plumbing Systems,High Cost/Hidden Defects,Main Drain - Standing Water/Debris,19.36,1437.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
47,I. Structural Systems,Maintenance,Damaged Doors,19.22,561.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
48,IV. Plumbing Systems,Maintenance,Loose Fixture in Wall,19.17,462.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
49,II. Electrical Systems,Maintenance,Inoperable Light Fixtures,19.07,354.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
50,I. Structural Systems,Maintenance,Door Hardware Not Latching,18.78,278.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
51,I. Structural Systems,Maintenance,Damaged Flooring,18.64,772.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
52,I. Structural Systems,Maintenance,Squeaking Flooring Decking,18.64,378.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
53,I. Structural Systems,Maintenance,Sagging Decking (Pre-Owned Home),17.96,690.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
54,I. Structural Systems,Maintenance,Damaged/Missing Door Hardware,17.81,561.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
55,I. Structural Systems,Maintenance,Improper Roof Clearance,17.67,509.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
56,II. Electrical Systems,Maintenance,Loose Receptacles,17.33,539.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
57,I. Structural Systems,Maintenance,Minor Interior Wall Cracks,17.28,966.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
58,I. Structural Systems,Maintenance,Minor Exterior Mortar Cracking,17.23,758.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
59,I. Structural Systems,Maintenance,Noisy Flooring,16.99,511.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
60,I. Structural Systems,Maintenance,Damaged Windows,16.26,788.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
61,I. Structural Systems,Maintenance,Soil Erosion Grading,16.26,746.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
62,I. Structural Systems,Maintenance,Minor Exterior Wall Cracks,16.17,966.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
63,IV. Plumbing Systems,Maintenance,Low Supply Pressure,15.73,794.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
64,II. Electrical Systems,Maintenance,Damaged Electrical Panel,15.44,886.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
65,I. Structural Systems,Maintenance,Caulking Sealant Improvements,15.44,419.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
66,I. Structural Systems,Maintenance,Improper Grading Clearance,15.2,590.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
67,VI. Optional Systems,Maintenance,Improper Sprinkler Head Placement,15.2,251.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
68,I. Structural Systems,Maintenance,Damaged Wall Grout,14.96,347.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
69,V. Appliances,Maintenance,Unfastened Range,14.67,516.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
70,IV. Plumbing Systems,Maintenance,Missing Water Heater Drain Pan/Line,14.57,553.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
71,I. Structural Systems,High Cost/Hidden Defects,Foliage/Tree Limb Removal,13.99,2556.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
72,I. Structural Systems,Maintenance,Pest-Damaged Insulation,13.99,884.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
73,I. Structural Systems,Maintenance,Gaps at Door Casings,13.75,577.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
74,IV. Plumbing Systems,Maintenance,Rusted Gas Supply,13.31,513.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
75,I. Structural Systems,Maintenance,Damaged Window Springs,13.26,519.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
76,I. Structural Systems,High Cost/Hidden Defects,Failed Window Seals,12.97,5314.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
77,I. Structural Systems,Maintenance,Wood to Ground Contact,12.92,988.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
78,II. Electrical Systems,Maintenance,Damaged Fixtures/Receptacles,12.73,281.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
79,IV. Plumbing Systems,Maintenance,High Supply Pressure,12.44,804.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
80,I. Structural Systems,Maintenance,Cracked/Loose Flooring Tiles,12.44,471.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
81,I. Structural Systems,Maintenance,Rusted Lintels,12.0,346.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
82,I. Structural Systems,High Cost/Hidden Defects,Missing/Damaged Handrail,11.81,1408.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
83,II. Electrical Systems,Maintenance,Missing/Damaged Fixture Globe,11.52,353.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
84,I. Structural Systems,Maintenance,Negative Slope Grading,11.47,828.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
85,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Over-performing HVAC System,11.37,381.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
86,I. Structural Systems,Maintenance,Damaged Door Trim,11.28,573.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
87,IV. Plumbing Systems,High Cost/Hidden Defects,Improperly Installed Toilet,10.99,194.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
88,II. Electrical Systems,Immediate Maintenance,No Exterior GFCI Protection,10.99,658.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
89,I. Structural Systems,Maintenance,Insufficient Attic Ventilation,10.89,590.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
90,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Improper Condensate Drain Location,10.55,222.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
91,I. Structural Systems,Maintenance,Gutter Diverters/Splash Blocks,10.36,206.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
92,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Damaged Ductwork,10.31,808.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
93,V. Appliances,Maintenance,Damaged/Noisy Exhaust Vent,10.31,284.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
94,IV. Plumbing Systems,Maintenance,Insulate Exterior Plumbing,10.31,164.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
95,I. Structural Systems,Maintenance,Missing/Damaged Window Flashings,10.21,848.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
96,V. Appliances,Maintenance,Repair Fan/Vent Covers,9.92,790.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
97,I. Structural Systems,Maintenance,Ceiling Previous Repairs,9.92,800.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
98,I. Structural Systems,Maintenance,Gaps at Window/Casing,9.83,478.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
99,II. Electrical Systems,Maintenance,Undetermined Switch Purpose,9.83,356.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
100,I. Structural Systems,Maintenance,Dirty Chimney Flue/Brick/Liner,9.58,670.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
101,I. Structural Systems,Maintenance,Damaged Attic Ladder,9.58,287.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
102,V. Appliances,Maintenance,Improper Range Installation,9.49,516.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
103,I. Structural Systems,Maintenance,Cut Back Foliage,9.39,274.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
104,I. Structural Systems,High Cost/Hidden Defects,Exterior Door Hinges Installed,9.24,1250.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
105,I. Structural Systems,Maintenance,Missing Cabinet Components,9.24,280.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
106,I. Structural Systems,Maintenance,Damaged Deck Wood/Materials,9.2,1740.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
107,IV. Plumbing Systems,Maintenance,Poor/Slow Drainage,9.15,1423.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
108,V. Appliances,Maintenance,Excessive Garbage Disposal Noise,9.0,254.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
109,IV. Plumbing Systems,Maintenance,Damaged Drain Materials,8.86,631.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
110,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Missing Emergency Float Switch,8.57,245.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
111,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Under-performing HVAC System,8.42,381.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
112,V. Appliances,Maintenance,Damaged Door/Gaskets,8.42,287.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
113,V. Appliances,Maintenance,Missing Mechanical Vent/Extensions,8.23,805.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
114,I. Structural Systems,Maintenance,Flashing Advisement,8.23,494.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
115,IV. Plumbing Systems,Maintenance,Damaged Fixture Diverter,8.23,155.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
116,I. Structural Systems,Maintenance,Water Damage/Rust at Chimney,8.13,774.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
117,IV. Plumbing Systems,Maintenance,Low Fixture Water Pressure,8.08,740.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
118,I. Structural Systems,Maintenance,Insufficient Weatherstripping,8.08,182.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
119,I. Structural Systems,Maintenance,Missing/Damaged Flooring Caulking,8.03,139.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
120,IV. Plumbing Systems,Maintenance,Damaged Diverter/Drain Stopper,7.94,206.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
121,I. Structural Systems,Maintenance,Loose/Noisy Window Casing,7.79,416.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
122,I. Structural Systems,Maintenance,Gutter Repairs Needed,7.79,340.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
123,V. Appliances,Maintenance,Clean Dryer Exhaust System,7.74,164.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
124,IV. Plumbing Systems,Maintenance,Missing Expansion Tank,7.7,490.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
125,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Rust in Secondary Pan,7.7,190.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
126,I. Structural Systems,Maintenance,Noisy Stair Treads,7.6,775.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
127,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Damaged Vent,7.5,808.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
128,V. Appliances,Maintenance,Oven Overperforming,7.45,521.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
129,I. Structural Systems,Maintenance,Damaged Flooring Grout,7.41,247.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
130,V. Appliances,Maintenance,Oven Underperforming,7.36,516.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
131,I. Structural Systems,Maintenance,Damaged/Repaired Roof Decking,7.36,421.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
132,II. Electrical Systems,Maintenance,Install Dedicated Circuit,7.26,617.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
133,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Missing/Damaged Condensate Line,7.16,150.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
134,I. Structural Systems,Maintenance,Gutter Standing Water/Debris,7.12,735.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
135,V. Appliances,Maintenance,Damaged Dryer Vent,7.07,279.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
136,I. Structural Systems,High Cost/Hidden Defects,Moisture Intrusion in Walls,7.02,1325.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
137,I. Structural Systems,Maintenance,Possibly Inadequate Wall Insulation,7.02,1104.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
138,I. Structural Systems,Maintenance,Standing Water Grading,7.02,1004.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
139,I. Structural Systems,Maintenance,Heaving/Settling Slab Soils,6.97,492.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
140,I. Structural Systems,Maintenance,Water Damaged Ceiling/Repairs,6.82,806.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
141,II. Electrical Systems,Maintenance,Improperly Installed Switches,6.82,356.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
142,I. Structural Systems,Maintenance,Water Damaged Roof Decking,6.68,515.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
143,IV. Plumbing Systems,High Cost/Hidden Defects,Plumbing Leak Detected,6.49,198.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
144,V. Appliances,Maintenance,Exhaust to Interior Not Connected,6.44,466.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
145,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Damaged HVAC Cabinet,6.39,2554.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
146,I. Structural Systems,Maintenance,Windows Not Latching,6.39,181.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
147,VI. Optional Systems,High Cost/Hidden Defects,Broken Sprinkler/Line,6.24,334.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
148,II. Electrical Systems,Maintenance,Unpowered/Missing Receptacles,6.24,641.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
149,II. Electrical Systems,Maintenance,Loose/Not Flush Fixtures,6.24,354.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
150,I. Structural Systems,Maintenance,Corner Pop/Wedge Cracks,6.2,544.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
151,I. Structural Systems,Maintenance,Damaged Countertop,6.2,421.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
152,V. Appliances,Maintenance,Balance Garage Doors,6.2,182.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
153,I. Structural Systems,Maintenance,Damaged Flatwork,6.1,988.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
154,IV. Plumbing Systems,Maintenance,Missing Gas Drip Leg,6.0,227.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
155,I. Structural Systems,Maintenance,Dirty Window Casings/Sills,5.86,372.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
156,I. Structural Systems,Maintenance,Loose Rail/Balusters,5.81,1097.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
157,V. Appliances,Maintenance,Loud Garage Door Noises,5.76,293.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
158,II. Electrical Systems,Maintenance,Damaged/Missing Doorbell,5.76,268.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
159,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Clean Ductwork,5.57,1383.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
160,II. Electrical Systems,Maintenance,Exposed Wiring Ends/Splices,5.57,208.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
161,V. Appliances,Maintenance,Non-Working Auto Reverse Sensors,5.57,184.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
162,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Damaged HVAC Component,5.52,7077.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
163,IV. Plumbing Systems,Maintenance,Corrugated Drains Present,5.42,1965.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
164,V. Appliances,Maintenance,Disable Mechanical Locking,5.37,273.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
165,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Under-performing Heating System,5.32,381.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
166,I. Structural Systems,Maintenance,Improper Patio Clearance,5.32,903.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
167,I. Structural Systems,Maintenance,Missing Flashing Over Walkways,5.32,514.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
168,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Inoperable Heating System,5.28,369.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
169,I. Structural Systems,High Cost/Hidden Defects,Window Seals Damaged,5.23,5314.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
170,I. Structural Systems,Maintenance,Damaged/Missing Threshold/Sweep,5.18,561.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
171,I. Structural Systems,High Cost/Hidden Defects,Broken Windows,5.08,2231.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
172,I. Structural Systems,Maintenance,Damaged Roof Vents,5.08,370.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
173,V. Appliances,High Cost/Hidden Defects,Missing Exhaust System,5.03,1565.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
174,I. Structural Systems,Maintenance,Damaged/Repaired Stucco,4.99,1572.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
175,I. Structural Systems,Maintenance,Difficult Cabinet Drawers,4.89,162.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
176,I. Structural Systems,Maintenance,Settling Patio,4.79,2557.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
177,I. Structural Systems,Maintenance,Water Sealant Needed for Exterior Wood,4.79,579.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
178,I. Structural Systems,Maintenance,Damaged Patio Ceiling,4.7,988.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
179,I. Structural Systems,Maintenance,Missing Window Screens,4.7,914.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
180,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Secondary Pan Issues,4.7,184.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
181,I. Structural Systems,Maintenance,Door Not Installed,4.65,561.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
182,II. Electrical Systems,Maintenance,Missing/Damaged Smoke/CO Detectors,4.5,206.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
183,I. Structural Systems,Maintenance,Damaged/Missing Transition Strip,4.45,566.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
184,I. Structural Systems,Maintenance,Damaged Vents/Flashings,4.45,361.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
185,I. Structural Systems,Maintenance,Damaged Firebox,4.4,916.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
186,IV. Plumbing Systems,High Cost/Hidden Defects,Damaged Water Heater Vent Flue,4.31,314.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
187,I. Structural Systems,Maintenance,Damaged/Missing Chimney Cap,4.26,905.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
188,I. Structural Systems,Maintenance,Clogged Stucco Weep Holes,4.21,2100.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
189,I. Structural Systems,Maintenance,Damaged Window Sill,4.07,884.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
190,II. Electrical Systems,Maintenance,Multiple Wires in One Slot,4.07,439.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
191,VI. Optional Systems,Maintenance,Burnout Sprinkler Zone,4.07,359.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
192,VI. Optional Systems,Maintenance,Damaged Outbuilding Wood/Materials,4.02,1713.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
193,II. Electrical Systems,Maintenance,Neutrals/Grounds on Same Bus Bar,4.02,308.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
194,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Missing Gas Drip Leg,4.02,263.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
195,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Insufficient Flue Clearance,3.92,155.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
196,I. Structural Systems,Maintenance,Damaged Mirror,3.87,399.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
197,I. Structural Systems,Maintenance,Cracked/Loose Shower Tiles,3.82,347.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
198,IV. Plumbing Systems,Maintenance,Missing Electrical Shut Off,3.82,339.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
199,I. Structural Systems,Maintenance,Damaged Blinds,3.73,914.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
